chr	start	end	adipocyte	endothelial_cell	colon_fibroblasts	heart_fibroblasts	dermal_fibroblast	skeletal_muscle	smooth_muscle	heart_cardiomyocyte	bone_osteoblast	oligodendrocyte	neuron	hepatocyte	pancreas_duct	pancreas_acinar	pancreas_delta	pancreas_beta	pancreas_alpha	kidney_epithelial	thyroid_epithelial	fallopian_epithelial	ovary_epithelial	erythrocyte_progenitor	T-cell	NK-cell	monocyte	granulocyte	B-cell	epiderminal_keratinocyte	head_neck_epithelial	lung_epithelial	prostate_epithelial	bladder_epithelial	breast_luminal	breast_basal	lung_alveolar_epithelial	gallbladder	gastric_epithelial	colon_epithelial	small_int_epithelial
chr9	133769772	133770417	0.94	0.95	0.94	0.92	0.94	0.89	0.90	0.97	0.93	0.95	0.97	0.81	0.94	0.03	0.92	0.95	0.94	0.95	0.92	0.96	0.96	0.69	0.88	0.95	0.96	0.96	0.96	0.96	0.94	0.94	0.96	0.96	0.96	0.95	0.91	0.95	0.96	0.93	0.95
chr9	133885400	133885594	0.94	0.91	0.89	0.94	0.95	0.77	0.94	0.95	0.89	0.95	0.92	0.06	0.89	0.77	0.75	0.78	0.86	0.91	0.96	0.98	0.95	0.67	0.93	0.96	0.97	0.95	0.94	0.94	0.95	0.93	0.97	0.96	0.96	0.98	0.94	0.25	0.93	0.95	0.95
chr9	134029630	134029818	0.83	0.96	0.93	0.95	0.94	0.88	0.88	0.97	0.90	0.91	0.64	0.97	0.96	0.95	0.91	0.62	0.02	0.98	0.97	0.98	0.96	0.89	0.96	0.98	0.97	0.97	0.97	0.91	0.92	0.93	0.95	0.97	0.96	0.96	0.95	0.99	0.95	0.97	0.97
chr9	134128704	134128961	0.90	0.91	0.66	0.84	0.86	0.94	0.78	0.96	0.86	0.94	0.96	0.96	0.96	0.87	0.91	0.92	0.89	0.67	0.81	0.85	0.86	0.68	0.90	0.92	0.93	0.94	0.04	0.90	0.92	0.94	0.95	0.93	0.96	0.98	0.94	0.95	0.95	0.94	0.93
chr9	134393468	134393619	0.89	0.89	0.85	0.92	0.93	0.90	0.93	0.85	0.90	0.92	0.94	0.94	0.96	0.90	0.86	0.82	0.86	0.95	0.95	0.95	0.96	0.90	0.83	0.31	0.92	0.93	0.73	0.90	0.92	0.91	0.93	0.92	0.96	0.93	0.92	0.94	0.92	0.96	0.95
chr9	134442064	134442554	0.03	0.05	0.09	0.06	0.06	0.08	0.06	0.11	0.05	0.36	0.70	0.09	0.13	0.11	0.32	0.17	0.19	0.17	0.22	0.10	0.09	0.02	0.29	0.07	0.05	0.04	0.15	0.05	0.06	0.03	0.18	0.03	0.09	0.14	0.05	0.11	0.09	0.10	0.05
chr9	134516000	134516338	0.96	0.95	0.89	0.92	0.83	0.89	0.87	0.93	0.95	0.97	0.97	0.90	0.93	0.83	0.93	0.92	0.91	0.19	0.90	0.83	0.77	0.54	0.85	0.89	0.94	0.92	0.88	0.87	0.88	0.92	0.88	0.89	0.96	0.95	0.93	0.91	0.84	0.80	0.81
chr9	134661439	134662039	0.53	0.74	0.44	0.18	0.55	0.49	0.24	0.87	0.60	0.94	0.95	0.85	0.92	0.78	0.91	0.92	0.93	0.94	0.95	0.89	0.88	0.65	0.89	0.95	0.95	0.96	0.92	0.75	0.89	0.92	0.90	0.83	0.92	0.80	0.95	0.93	0.88	0.91	0.92
chr9	134722483	134722876	0.83	0.88	0.84	0.80	0.85	0.77	0.67	0.93	0.83	0.97	0.97	0.87	0.95	0.72	0.97	0.93	0.97	0.91	0.93	0.77	0.71	0.67	0.85	0.77	0.94	0.94	0.92	0.84	0.78	0.04	0.40	0.86	0.82	0.90	0.76	0.83	0.82	0.72	0.76
chr9	134753104	134753682	0.91	0.93	0.72	0.90	0.94	0.81	0.88	0.95	0.92	0.94	0.96	0.90	0.90	0.85	0.92	0.97	0.96	0.93	0.94	0.92	0.94	0.68	0.88	0.89	0.94	0.95	0.27	0.93	0.94	0.95	0.96	0.91	0.96	0.97	0.93	0.80	0.84	0.88	0.82
chr9	134793683	134794021	0.95	0.94	0.82	0.93	0.87	0.92	0.88	0.96	0.94	0.94	0.89	0.80	0.88	0.73	0.94	0.91	0.90	0.94	0.95	0.90	0.94	0.64	0.87	0.93	0.94	0.97	0.81	0.07	0.83	0.91	0.95	0.88	0.33	0.84	0.94	0.89	0.84	0.82	0.85
chr9	135035016	135035243	0.88	0.88	0.86	0.73	0.84	0.84	0.74	0.92	0.77	0.95	0.97	0.85	0.93	0.78	0.90	0.91	0.88	0.89	0.92	0.78	0.75	0.66	0.85	0.90	0.92	0.93	0.85	0.14	0.09	0.80	0.87	0.78	0.85	0.97	0.87	0.94	0.82	0.70	0.78
chr9	135038092	135038375	0.80	0.79	0.82	0.57	0.18	0.86	0.47	0.90	0.73	0.91	0.80	0.78	0.90	0.64	0.80	0.85	0.77	0.87	0.89	0.80	0.80	0.66	0.89	0.92	0.92	0.91	0.88	0.90	0.93	0.91	0.93	0.88	0.92	0.97	0.84	0.85	0.85	0.88	0.90
chr9	135181879	135182081	0.90	0.91	0.89	0.73	0.88	0.89	0.71	0.97	0.75	0.96	0.94	0.89	0.95	0.94	0.96	0.97	0.92	0.94	0.05	0.90	0.89	0.61	0.90	0.92	0.95	0.97	0.92	0.90	0.93	0.92	0.93	0.87	0.94	0.97	0.91	0.90	0.87	0.88	0.86
chr9	135204334	135204516	0.93	0.89	0.79	0.74	0.86	0.85	0.66	0.92	0.52	0.88	0.93	0.88	0.94	0.91	0.94	0.94	0.91	0.96	0.50	0.93	0.89	0.61	0.77	0.80	0.87	0.88	0.79	0.90	0.94	0.80	0.94	0.84	0.94	0.96	0.03	0.97	0.91	0.76	0.65
chr9	135492975	135493406	0.86	0.91	0.85	0.83	0.78	0.80	0.84	0.93	0.88	0.90	0.93	0.96	0.97	0.95	0.96	0.95	0.96	0.94	0.96	0.97	0.95	0.75	0.89	0.95	0.96	0.97	0.95	0.31	0.78	0.91	0.94	0.93	0.94	0.94	0.89	0.95	0.94	0.95	0.94
chr9	135798356	135798743	0.88	0.85	0.86	0.79	0.29	0.57	0.63	0.93	0.82	0.92	0.94	0.92	0.91	0.81	0.90	0.93	0.90	0.90	0.90	0.90	0.84	0.72	0.93	0.95	0.96	0.96	0.93	0.90	0.90	0.90	0.93	0.91	0.94	0.94	0.88	0.90	0.89	0.92	0.93
chr9	135809009	135809240	0.67	0.84	0.85	0.21	0.39	0.73	0.76	0.89	0.91	0.96	0.95	0.96	0.95	0.85	0.89	0.91	0.93	0.88	0.95	0.90	0.96	0.71	0.93	0.96	0.96	0.94	0.96	0.91	0.89	0.93	0.91	0.94	0.95	0.90	0.92	0.93	0.94	0.96	0.93
chr9	135988429	135988587	0.81	0.94	0.88	0.88	0.86	0.94	0.83	0.98	0.88	0.97	0.87	0.96	0.92	0.70	0.92	0.91	0.92	0.94	0.93	0.89	0.86	0.75	0.94	0.97	0.97	0.97	0.93	0.13	0.68	0.88	0.93	0.92	0.64	0.81	0.93	0.92	0.94	0.87	0.90
chr9	135998576	135998812	0.94	0.96	0.93	0.93	0.94	0.95	0.92	0.94	0.93	0.96	0.80	0.97	0.97	0.95	0.97	0.96	0.97	0.96	0.95	0.97	0.96	0.80	0.91	0.94	0.96	0.94	0.92	0.74	0.80	0.91	0.89	0.92	0.64	0.09	0.94	0.94	0.93	0.95	0.93
chr9	136211022	136211277	0.93	0.93	0.92	0.90	0.86	0.91	0.89	0.95	0.92	0.93	0.95	0.95	0.93	0.93	0.90	0.91	0.91	0.96	0.93	0.96	0.95	0.92	0.94	0.96	0.97	0.96	0.97	0.88	0.93	0.92	0.96	0.96	0.85	0.31	0.92	0.91	0.93	0.95	0.96
chr9	136211489	136211936	0.92	0.94	0.91	0.89	0.86	0.75	0.87	0.94	0.86	0.91	0.83	0.97	0.95	0.95	0.90	0.91	0.93	0.96	0.94	0.88	0.93	0.92	0.95	0.97	0.97	0.96	0.89	0.80	0.86	0.92	0.93	0.95	0.71	0.05	0.94	0.94	0.95	0.94	0.95
chr9	136229864	136230019	0.94	0.94	0.92	0.92	0.93	0.90	0.90	0.95	0.90	0.92	0.80	0.63	0.93	0.63	0.59	0.79	0.78	0.94	0.94	0.89	0.85	0.88	0.95	0.97	0.96	0.96	0.95	0.78	0.89	0.88	0.62	0.91	0.05	0.82	0.90	0.90	0.85	0.86	0.87
chr9	136241963	136242415	0.95	0.96	0.92	0.94	0.89	0.92	0.91	0.98	0.95	0.96	0.96	0.97	0.97	0.94	0.94	0.92	0.91	0.92	0.10	0.95	0.88	0.82	0.95	0.97	0.97	0.97	0.90	0.88	0.93	0.88	0.96	0.93	0.94	0.91	0.78	0.96	0.94	0.95	0.96
chr9	136242612	136242833	0.91	0.92	0.87	0.85	0.89	0.84	0.84	0.76	0.87	0.83	0.81	0.94	0.90	0.83	0.81	0.80	0.71	0.83	0.10	0.88	0.76	0.80	0.94	0.95	0.96	0.95	0.75	0.71	0.83	0.83	0.92	0.94	0.96	0.90	0.79	0.85	0.91	0.96	0.94
chr9	136555567	136555874	0.95	0.95	0.88	0.90	0.90	0.92	0.87	0.95	0.82	0.94	0.95	0.96	0.96	0.95	0.95	0.92	0.96	0.95	0.93	0.91	0.78	0.66	0.89	0.94	0.96	0.96	0.89	0.92	0.87	0.92	0.93	0.93	0.48	0.07	0.92	0.89	0.93	0.95	0.94
chr9	136650092	136650406	0.90	0.95	0.91	0.91	0.91	0.84	0.85	0.98	0.74	0.91	0.95	0.97	0.97	0.94	0.96	0.94	0.96	0.97	0.94	0.97	0.95	0.14	0.92	0.91	0.78	0.37	0.95	0.92	0.94	0.93	0.96	0.94	0.95	0.97	0.95	0.96	0.93	0.86	0.89
chr9	136651987	136652178	0.90	0.93	0.87	0.91	0.92	0.92	0.85	0.97	0.90	0.94	0.96	0.96	0.96	0.94	0.92	0.89	0.87	0.90	0.71	0.93	0.90	0.79	0.95	0.97	0.98	0.97	0.96	0.84	0.03	0.50	0.82	0.89	0.94	0.96	0.90	0.90	0.92	0.88	0.90
chr9	136917737	136917978	0.91	0.93	0.89	0.92	0.94	0.76	0.89	0.95	0.92	0.93	0.96	0.97	0.95	0.94	0.93	0.95	0.94	0.97	0.96	0.95	0.96	0.87	0.94	0.96	0.81	0.07	0.95	0.94	0.91	0.92	0.94	0.96	0.96	0.94	0.95	0.97	0.94	0.95	0.95
chr9	136937849	136938398	0.59	0.87	0.77	0.92	0.89	0.82	0.92	0.95	0.90	0.95	0.96	0.08	0.97	0.94	0.95	0.96	0.96	0.91	0.96	0.96	0.94	0.87	0.95	0.97	0.93	0.89	0.95	0.94	0.89	0.93	0.96	0.94	0.97	0.94	0.93	0.91	0.92	0.95	0.94
chr9	136959495	136959740	0.94	0.93	0.88	0.90	0.79	0.90	0.86	0.89	0.61	0.95	0.94	0.91	0.89	0.94	0.84	0.85	0.85	0.90	0.87	0.73	0.84	0.74	0.90	0.06	0.96	0.96	0.95	0.94	0.94	0.93	0.96	0.93	0.91	0.57	0.76	0.92	0.93	0.93	0.89
chr9	136998417	136998624	0.92	0.94	0.84	0.92	0.94	0.93	0.92	0.93	0.65	0.96	0.96	0.95	0.96	0.91	0.96	0.96	0.96	0.91	0.94	0.94	0.92	0.72	0.88	0.23	0.94	0.95	0.83	0.94	0.89	0.92	0.95	0.86	0.96	0.97	0.96	0.81	0.91	0.68	0.66
chr9	137084255	137084469	0.93	0.93	0.87	0.90	0.89	0.92	0.93	0.95	0.70	0.95	0.93	0.90	0.96	0.83	0.95	0.96	0.95	0.91	0.93	0.96	0.94	0.81	0.96	0.97	0.97	0.97	0.84	0.28	0.20	0.63	0.84	0.94	0.82	0.87	0.90	0.91	0.90	0.94	0.94
chr9	137090170	137090558	0.90	0.91	0.89	0.79	0.90	0.87	0.81	0.94	0.84	0.94	0.91	0.96	0.90	0.72	0.82	0.87	0.88	0.93	0.94	0.93	0.92	0.77	0.94	0.95	0.96	0.96	0.94	0.87	0.84	0.89	0.91	0.95	0.30	0.83	0.91	0.86	0.88	0.88	0.77
chr9	137389136	137389333	0.91	0.92	0.90	0.79	0.96	0.89	0.86	0.86	0.90	0.95	0.82	0.97	0.97	0.95	0.96	0.94	0.94	0.92	0.94	0.96	0.96	0.03	0.94	0.96	0.97	0.98	0.95	0.94	0.95	0.93	0.97	0.97	0.97	0.97	0.95	0.94	0.93	0.97	0.96
chr9	137521703	137521903	0.93	0.94	0.86	0.89	0.90	0.72	0.83	0.96	0.89	0.89	0.95	0.96	0.95	0.38	0.94	0.91	0.94	0.97	0.96	0.98	0.97	0.77	0.83	0.11	0.96	0.97	0.92	0.93	0.94	0.95	0.97	0.96	0.98	0.96	0.96	0.98	0.96	0.95	0.95
chr9	137693545	137694078	0.93	0.93	0.94	0.91	0.88	0.93	0.91	0.95	0.90	0.93	0.94	0.96	0.25	0.86	0.83	0.76	0.85	0.88	0.96	0.83	0.91	0.88	0.96	0.98	0.97	0.96	0.96	0.93	0.94	0.94	0.93	0.93	0.93	0.89	0.93	0.90	0.94	0.96	0.94
chr9	137738259	137738680	0.89	0.91	0.52	0.91	0.91	0.88	0.88	0.94	0.87	0.92	0.91	0.97	0.95	0.93	0.93	0.93	0.96	0.96	0.94	0.97	0.94	0.80	0.87	0.92	0.78	0.94	0.08	0.92	0.92	0.95	0.96	0.93	0.96	0.92	0.95	0.95	0.92	0.95	0.94
chr9	137758923	137759395	0.96	0.95	0.71	0.95	0.96	0.93	0.94	0.97	0.96	0.96	0.96	0.98	0.96	0.95	0.96	0.96	0.97	0.97	0.96	0.97	0.97	0.89	0.97	0.98	0.93	0.97	0.18	0.95	0.96	0.98	0.97	0.97	0.97	0.95	0.96	0.97	0.97	0.97	0.97
chr9	138113553	138114038	0.87	0.88	0.85	0.75	0.87	0.83	0.76	0.90	0.82	0.86	0.29	0.87	0.89	0.82	0.88	0.92	0.91	0.87	0.91	0.83	0.85	0.69	0.91	0.91	0.92	0.91	0.92	0.90	0.89	0.89	0.89	0.89	0.84	0.75	0.89	0.90	0.90	0.88	0.91
chr10	376639	377138	0.95	0.94	0.88	0.95	0.95	0.94	0.87	0.96	0.88	0.96	0.96	0.98	0.97	0.93	0.94	0.38	0.15	0.97	0.96	0.98	0.97	0.62	0.90	0.90	0.91	0.92	0.88	0.95	0.97	0.98	0.97	0.97	0.98	0.97	0.98	0.97	0.97	0.97	0.97
chr10	390954	391154	0.93	0.94	0.88	0.93	0.88	0.93	0.91	0.92	0.90	0.96	0.84	0.97	0.94	0.91	0.80	0.25	0.19	0.96	0.81	0.97	0.86	0.72	0.90	0.95	0.95	0.94	0.88	0.95	0.90	0.90	0.95	0.95	0.93	0.97	0.79	0.93	0.93	0.81	0.90
chr10	392217	392550	0.78	0.90	0.89	0.84	0.77	0.74	0.75	0.80	0.87	0.93	0.64	0.97	0.95	0.94	0.90	0.08	0.65	0.90	0.96	0.97	0.96	0.70	0.94	0.96	0.92	0.88	0.93	0.94	0.94	0.95	0.96	0.94	0.93	0.91	0.96	0.94	0.93	0.97	0.95
chr10	444067	444275	0.94	0.95	0.92	0.92	0.92	0.92	0.86	0.96	0.74	0.62	0.90	0.97	0.97	0.92	0.96	0.97	0.98	0.98	0.94	0.97	0.92	0.69	0.95	0.96	0.96	0.95	0.95	0.94	0.96	0.96	0.97	0.91	0.94	0.97	0.92	0.96	0.07	0.97	0.97
chr10	470381	470635	0.94	0.93	0.83	0.83	0.93	0.91	0.81	0.81	0.93	0.96	0.94	0.94	0.92	0.87	0.84	0.89	0.76	0.96	0.91	0.97	0.95	0.39	0.23	0.83	0.89	0.92	0.85	0.81	0.91	0.88	0.87	0.88	0.90	0.84	0.89	0.79	0.85	0.96	0.94
chr10	480742	480925	0.92	0.94	0.91	0.89	0.91	0.90	0.90	0.88	0.94	0.91	0.78	0.98	0.96	0.95	0.43	0.08	0.05	0.96	0.97	0.95	0.94	0.73	0.92	0.93	0.95	0.96	0.91	0.92	0.93	0.94	0.96	0.95	0.96	0.95	0.96	0.95	0.94	0.95	0.90
chr10	809687	809932	0.96	0.96	0.95	0.93	0.93	0.89	0.93	0.05	0.95	0.96	0.93	0.98	0.96	0.95	0.94	0.94	0.77	0.92	0.94	0.97	0.96	0.92	0.96	0.97	0.97	0.97	0.96	0.96	0.95	0.95	0.97	0.97	0.98	0.97	0.96	0.95	0.96	0.97	0.96
chr10	846594	846830	0.84	0.74	0.86	0.75	0.87	0.88	0.82	0.85	0.85	0.93	0.93	0.94	0.80	0.86	0.80	0.90	0.80	0.84	0.94	0.91	0.93	0.05	0.95	0.91	0.93	0.66	0.93	0.96	0.95	0.93	0.96	0.94	0.96	0.96	0.91	0.44	0.86	0.93	0.92
chr10	926731	927005	0.88	0.93	0.88	0.92	0.89	0.88	0.93	0.94	0.90	0.83	0.93	0.95	0.83	0.92	0.87	0.93	0.90	0.23	0.95	0.95	0.88	0.88	0.94	0.94	0.96	0.95	0.89	0.92	0.95	0.94	0.95	0.94	0.96	0.93	0.86	0.81	0.90	0.83	0.91
chr10	1024524	1024690	0.92	0.88	0.93	0.84	0.95	0.50	0.86	0.74	0.91	0.97	0.96	0.97	0.96	0.94	0.94	0.96	0.96	0.95	0.97	0.97	0.95	0.11	0.93	0.90	0.88	0.72	0.95	0.89	0.96	0.97	0.97	0.93	0.99	0.97	0.96	0.98	0.95	0.96	0.94
chr10	1069512	1070114	0.89	0.94	0.90	0.93	0.91	0.79	0.89	0.96	0.86	0.96	0.94	0.84	0.96	0.94	0.80	0.81	0.80	0.94	0.96	0.97	0.96	0.82	0.90	0.75	0.66	0.07	0.95	0.92	0.92	0.94	0.92	0.91	0.95	0.93	0.95	0.94	0.95	0.93	0.93
chr10	1112337	1112550	0.91	0.95	0.94	0.91	0.95	0.93	0.92	0.14	0.85	0.97	0.95	0.96	0.94	0.93	0.92	0.95	0.95	0.97	0.96	0.98	0.97	0.88	0.96	0.94	0.97	0.73	0.96	0.96	0.95	0.96	0.96	0.97	0.98	0.95	0.96	0.93	0.94	0.97	0.97
chr10	1114520	1114679	0.92	0.94	0.93	0.90	0.88	0.89	0.89	0.82	0.89	0.94	0.74	0.96	0.93	0.92	0.82	0.89	0.81	0.95	0.90	0.98	0.97	0.04	0.96	0.68	0.97	0.97	0.97	0.92	0.92	0.93	0.96	0.97	0.96	0.94	0.94	0.94	0.94	0.95	0.97
chr10	1132659	1132929	0.94	0.92	0.81	0.91	0.94	0.90	0.84	0.90	0.84	0.93	0.94	0.95	0.95	0.96	0.93	0.95	0.96	0.95	0.95	0.95	0.95	0.67	0.69	0.06	0.92	0.92	0.79	0.92	0.93	0.94	0.95	0.92	0.96	0.96	0.95	0.89	0.92	0.92	0.93
chr10	1278872	1279136	0.82	0.87	0.79	0.07	0.57	0.81	0.43	0.89	0.69	0.96	0.96	0.79	0.96	0.69	0.93	0.89	0.94	0.89	0.92	0.95	0.92	0.59	0.90	0.95	0.95	0.96	0.89	0.92	0.96	0.97	0.96	0.88	0.96	0.95	0.90	0.94	0.92	0.94	0.95
chr10	1364746	1364896	0.95	0.95	0.94	0.81	0.91	0.93	0.79	0.97	0.88	0.96	0.92	0.93	0.97	0.89	0.97	0.97	0.96	0.97	0.94	0.98	0.89	0.75	0.95	0.97	0.96	0.95	0.96	0.29	0.08	0.75	0.80	0.75	0.94	0.97	0.94	0.96	0.95	0.97	0.97
chr10	1464282	1464510	0.92	0.87	0.88	0.78	0.89	0.85	0.83	0.88	0.82	0.94	0.72	0.89	0.91	0.86	0.95	0.95	0.95	0.12	0.85	0.64	0.73	0.80	0.89	0.92	0.90	0.92	0.92	0.93	0.86	0.72	0.94	0.87	0.86	0.90	0.79	0.82	0.90	0.94	0.94
chr10	1576670	1576991	0.87	0.89	0.69	0.70	0.85	0.86	0.70	0.95	0.77	0.95	0.93	0.92	0.95	0.69	0.97	0.95	0.91	0.94	0.92	0.89	0.89	0.67	0.83	0.90	0.92	0.94	0.07	0.90	0.95	0.95	0.97	0.92	0.94	0.93	0.90	0.91	0.95	0.92	0.92
chr10	3079879	3080240	0.92	0.94	0.96	0.89	0.92	0.93	0.91	0.89	0.75	0.95	0.80	0.87	0.96	0.77	0.96	0.98	0.97	0.92	0.95	0.02	0.72	0.71	0.95	0.97	0.97	0.95	0.96	0.91	0.95	0.96	0.92	0.96	0.83	0.26	0.94	0.96	0.95	0.95	0.96
chr10	3116254	3116497	0.92	0.95	0.93	0.92	0.96	0.95	0.94	0.71	0.94	0.97	0.95	0.88	0.94	0.66	0.95	0.95	0.97	0.93	0.95	0.97	0.96	0.79	0.96	0.97	0.97	0.98	0.96	0.27	0.87	0.93	0.88	0.94	0.97	0.97	0.86	0.95	0.95	0.98	0.97
chr10	3170596	3170794	0.91	0.93	0.90	0.92	0.92	0.77	0.89	0.95	0.85	0.88	0.92	0.97	0.95	0.93	0.95	0.91	0.95	0.91	0.62	0.91	0.91	0.78	0.96	0.98	0.97	0.98	0.97	0.79	0.74	0.71	0.92	0.88	0.97	0.97	0.10	0.88	0.88	0.86	0.89
chr10	3665298	3665682	0.92	0.90	0.85	0.81	0.87	0.88	0.81	0.74	0.84	0.91	0.93	0.87	0.95	0.47	0.86	0.88	0.83	0.93	0.89	0.95	0.93	0.08	0.92	0.95	0.93	0.93	0.91	0.88	0.93	0.93	0.95	0.94	0.95	0.96	0.89	0.89	0.87	0.93	0.87
chr10	3772928	3773136	0.94	0.97	0.95	0.96	0.97	0.75	0.94	0.97	0.97	0.97	0.97	0.96	0.97	0.94	0.93	0.94	0.92	0.62	0.97	0.98	0.96	0.78	0.97	0.97	0.88	0.01	0.98	0.92	0.91	0.96	0.97	0.94	0.98	0.97	0.99	0.98	0.97	0.98	0.98
chr10	3787915	3788128	0.71	0.78	0.90	0.90	0.86	0.85	0.90	0.82	0.92	0.94	0.96	0.89	0.95	0.79	0.90	0.92	0.92	0.91	0.89	0.96	0.94	0.80	0.94	0.93	0.94	0.91	0.83	0.93	0.94	0.90	0.97	0.95	0.96	0.97	0.93	0.03	0.80	0.88	0.18
chr10	3813965	3814391	0.57	0.88	0.71	0.85	0.78	0.80	0.86	0.84	0.02	0.94	0.95	0.96	0.97	0.95	0.93	0.95	0.94	0.96	0.89	0.96	0.78	0.76	0.89	0.53	0.90	0.89	0.96	0.94	0.79	0.65	0.95	0.86	0.96	0.97	0.88	0.95	0.93	0.95	0.94
chr10	3826301	3826893	0.89	0.92	0.92	0.15	0.90	0.71	0.88	0.55	0.95	0.96	0.97	0.97	0.96	0.89	0.97	0.97	0.97	0.93	0.95	0.98	0.96	0.77	0.96	0.97	0.95	0.96	0.96	0.95	0.97	0.98	0.97	0.95	0.98	0.97	0.97	0.95	0.97	0.95	0.95
chr10	3906205	3906531	0.88	0.92	0.66	0.69	0.95	0.84	0.71	0.96	0.75	0.97	0.96	0.92	0.95	0.80	0.89	0.96	0.95	0.90	0.56	0.97	0.64	0.67	0.95	0.96	0.96	0.97	0.93	0.84	0.90	0.90	0.41	0.10	0.58	0.92	0.75	0.98	0.92	0.75	0.94
chr10	3943006	3943195	0.46	0.74	0.87	0.72	0.87	0.84	0.80	0.90	0.92	0.93	0.94	0.95	0.96	0.79	0.91	0.95	0.97	0.93	0.96	0.90	0.93	0.64	0.90	0.95	0.92	0.88	0.92	0.80	0.92	0.92	0.89	0.12	0.84	0.75	0.90	0.93	0.77	0.91	0.91
chr10	4119173	4119389	0.96	0.97	0.93	0.95	0.92	0.96	0.89	0.98	0.91	0.97	0.97	0.90	0.97	0.86	0.95	0.98	0.97	0.93	0.93	0.91	0.95	0.64	0.95	0.97	0.98	0.97	0.95	0.96	0.96	0.97	0.96	0.93	0.97	0.96	0.96	0.05	0.96	0.95	0.80
chr10	4965302	4965516	0.85	0.94	0.88	0.85	0.90	0.94	0.89	0.94	0.90	0.94	0.96	0.12	0.95	0.95	0.96	0.96	0.95	0.93	0.95	0.94	0.95	0.88	0.90	0.95	0.95	0.98	0.90	0.92	0.94	0.92	0.96	0.86	0.97	0.97	0.95	0.78	0.87	0.95	0.79
chr10	5528363	5528925	0.88	0.94	0.88	0.86	0.89	0.92	0.86	0.95	0.88	0.93	0.94	0.07	0.96	0.91	0.94	0.96	0.97	0.83	0.91	0.96	0.95	0.75	0.89	0.93	0.96	0.97	0.92	0.96	0.89	0.95	0.96	0.93	0.96	0.97	0.95	0.89	0.95	0.91	0.82
chr10	5615775	5616044	0.90	0.92	0.89	0.72	0.50	0.78	0.78	0.94	0.15	0.92	0.93	0.98	0.97	0.94	0.95	0.72	0.86	0.86	0.83	0.98	0.96	0.76	0.91	0.94	0.96	0.95	0.92	0.93	0.89	0.88	0.95	0.96	0.92	0.95	0.96	0.92	0.92	0.97	0.94
chr10	5658385	5658928	0.92	0.90	0.85	0.89	0.90	0.91	0.86	0.89	0.80	0.93	0.93	0.92	0.95	0.93	0.84	0.92	0.92	0.88	0.81	0.90	0.92	0.58	0.91	0.88	0.96	0.96	0.78	0.87	0.91	0.77	0.91	0.95	0.93	0.96	0.07	0.82	0.90	0.93	0.93
chr10	5786909	5787503	0.75	0.92	0.90	0.89	0.78	0.71	0.79	0.93	0.74	0.91	0.95	0.96	0.94	0.92	0.95	0.96	0.96	0.93	0.94	0.92	0.87	0.84	0.95	0.96	0.96	0.94	0.95	0.91	0.86	0.19	0.83	0.92	0.96	0.95	0.72	0.89	0.87	0.94	0.95
chr10	5915554	5915907	0.93	0.88	0.90	0.91	0.94	0.90	0.90	0.85	0.91	0.94	0.96	0.97	0.96	0.93	0.93	0.92	0.93	0.97	0.92	0.97	0.96	0.07	0.94	0.95	0.93	0.92	0.95	0.94	0.95	0.95	0.95	0.97	0.96	0.94	0.94	0.89	0.90	0.95	0.94
chr10	5918229	5918531	0.92	0.94	0.94	0.92	0.91	0.92	0.89	0.93	0.91	0.94	0.95	0.98	0.95	0.94	0.93	0.94	0.93	0.97	0.96	0.97	0.95	0.90	0.95	0.96	0.97	0.97	0.97	0.18	0.22	0.56	0.76	0.88	0.95	0.88	0.94	0.94	0.94	0.95	0.94
chr10	6166289	6166684	0.94	0.95	0.91	0.94	0.96	0.83	0.93	0.96	0.91	0.67	0.94	0.95	0.91	0.96	0.92	0.93	0.94	0.97	0.77	0.21	0.82	0.83	0.96	0.96	0.94	0.95	0.96	0.92	0.84	0.89	0.96	0.95	0.86	0.96	0.95	0.05	0.95	0.92	0.92
chr10	6219673	6219890	0.91	0.95	0.94	0.90	0.96	0.85	0.92	0.96	0.86	0.85	0.89	0.97	0.96	0.93	0.92	0.94	0.94	0.92	0.92	0.94	0.96	0.74	0.95	0.96	0.97	0.97	0.95	0.85	0.25	0.91	0.95	0.93	0.96	0.84	0.92	0.96	0.95	0.95	0.95
chr10	6232604	6232919	0.93	0.93	0.93	0.79	0.95	0.89	0.89	0.95	0.80	0.86	0.79	0.98	0.97	0.88	0.93	0.94	0.95	0.94	0.94	0.91	0.96	0.77	0.96	0.92	0.96	0.94	0.97	0.91	0.93	0.90	0.96	0.97	0.89	0.14	0.95	0.93	0.95	0.97	0.96
chr10	6253108	6253285	0.93	0.94	0.88	0.88	0.86	0.93	0.85	0.97	0.78	0.95	0.97	0.96	0.98	0.92	0.93	0.92	0.88	0.95	0.92	0.99	0.94	0.61	0.94	0.93	0.96	0.98	0.96	0.95	0.93	0.94	0.92	0.95	0.97	0.93	0.76	0.96	0.94	0.05	0.76
chr10	6273325	6273483	0.92	0.93	0.87	0.87	0.92	0.89	0.81	0.89	0.90	0.95	0.97	0.97	0.97	0.88	0.90	0.92	0.90	0.96	0.85	0.98	0.96	0.64	0.95	0.96	0.84	0.94	0.91	0.95	0.94	0.84	0.95	0.96	0.98	0.97	0.12	0.96	0.95	0.96	0.96
