chromosome	start	end	Monocytes_EPIC	B-cells_EPIC	CD4T-cells_EPIC	NK-cells_EPIC	CD8T-cells_EPIC	Neutrophils_EPIC	Erythrocyte_progenitors	Adipocytes	Cortical_neurons	Hepatocytes	Lung_cells	Pancreatic_beta_cells	Pancreatic_acinar_cells	Pancreatic_duct_cells	Vascular_endothelial_cells	Colon_epithelial_cells	Left_atrium	Bladder	Breast	Head_and_neck_larynx	Kidney	Prostate	Thyroid	Upper_GI	Uterus_cervix
chr11	117203587	117203588	0.9789	0.9779	0.977	0.9762	0.9783	0.9776	0.9775	0.9456	0.9655	0.9758	0.9773	0.958275	0.966	0.9837	0.5642	0.9862	0.9038	0.8867	0.8284	0.9592	0.947	0.8446	0.9627	0.8591	0.7361
chr11	117204362	117204363	0.9813	0.9825	0.9789	0.9806	0.9789	0.9784	0.9918	0.9531	0.9442	0.9847	0.9721	0.9765	0.9585	0.9801	0.6426	0.981	0.9115	0.9139	0.8258	0.9685	0.9227	0.8851	0.9799	0.8873	0.6872
chr11	117505523	117505524	0.9832	0.9812	0.9805	0.9814	0.9787	0.9787	0.9856	0.9849	0.9015	0.9147	0.9681	0.97415	0.8247	0.958	0.943	0.9827	0.9825	0.9132	0.893	0.7435	0.9416	0.9298	0.987	0.9708	0.977
chr11	118264379	118264380	0.0233	0.0286	0.1021	0.097	0.2003	0.0133	0.0266	0.0231	0.0552	0.0053	0.0106	0.0033	0.008	0.0154	0.0257	0.0265	0.0145	0.0054	0.0126	0.0058	0.0077	0.0057	0.0035	0.0147	0.0099
chr11	118264390	118264391	0.0608	0.0933	0.1698	0.13	0.2738	0.05	0.0427	0.081	0.1174	0.0374	0.0533	0.06975	0.0588	0.0395	0.0661	0.0575	0.0723	0.0688	0.0777	0.0769	0.0524	0.0563	0.0497	0.0647	0.0769
chr11	118304916	118304917	0.9133	0.9124	0.0967	0.771	0.0935	0.8972	0.8976	0.9152	0.9058	0.8866	0.9003	0.879425	0.8813	0.9163	0.8487	0.9143	0.9154	0.8684	0.913	0.8924	0.9087	0.913	0.9116	0.8785	0.9161
chr11	118304960	118304961	0.9004	0.8938	0.0744	0.6933	0.0662	0.8903	0.9365	0.8111	0.8674	0.7565	0.7008	0.76425	0.6931	0.86	0.7982	0.8864	0.7996	0.8346	0.8517	0.848	0.8656	0.8633	0.7958	0.7822	0.8649
chr11	118342557	118342558	0.8667	0.8545	0.0895	0.8067	0.075	0.8413	0.8973	0.8212	0.828	0.7958	0.8247	0.783175	0.7785	0.8328	0.7706	0.8608	0.825	0.7537	0.8234	0.7781	0.8217	0.8037	0.7776	0.7663	0.7917
chr11	118342615	118342616	0.897	0.9076	0.0752	0.862	0.0597	0.8797	0.9258	0.8439	0.8929	0.8794	0.9024	0.85755	0.861	0.9155	0.8282	0.9078	0.782	0.8261	0.8765	0.8403	0.8696	0.8621	0.8615	0.807	0.8026
chr11	118342699	118342700	0.7974	0.8494	0.085	0.812	0.079	0.7643	0.872	0.7349	0.8046	0.7618	0.8374	0.77755	0.7921	0.8442	0.7097	0.864	0.7041	0.7333	0.7933	0.7633	0.7344	0.817	0.7457	0.7533	0.6643
chr11	118344095	118344096	0.7798	0.7576	0.0728	0.7701	0.0614	0.7615	0.8472	0.5322	0.6992	0.6027	0.6453	0.575275	0.4297	0.6006	0.489	0.6815	0.496	0.631	0.633	0.5711	0.607	0.6011	0.6359	0.5309	0.5114
chr11	118344130	118344131	0.8248	0.8689	0.1043	0.8555	0.088	0.8836	0.934	0.8198	0.8499	0.7884	0.861	0.809025	0.7884	0.8551	0.818	0.9053	0.8568	0.862	0.8624	0.8392	0.8693	0.8631	0.848	0.8434	0.8465
chr11	118344212	118344213	0.8882	0.8634	0.0569	0.8318	0.0479	0.8793	0.9276	0.5145	0.708	0.7888	0.7244	0.577675	0.5914	0.7023	0.5638	0.8882	0.5723	0.74	0.7217	0.6214	0.6216	0.6452	0.4706	0.6949	0.5957
chr11	118344397	118344398	0.8604	0.8527	0.0909	0.7923	0.0722	0.8455	0.8338	0.6257	0.752	0.8513	0.7872	0.751275	0.7619	0.7964	0.6018	0.8522	0.6713	0.6744	0.7338	0.6986	0.7561	0.7305	0.6536	0.7199	0.6727
chr11	118608713	118608714	0.0104	0.0085	0.0046	0.0052	0.0019	0.0057	0.0144	0.0116	0.0219	0.1195	0.0048	0.078425	0.4176	0.0204	0.0134	0.0036	0.0472	0.0	0.0276	0.0225	0.0814	0.0271	0.1342	0.0089	0.0096
chr11	118786418	118786419	0.2974	0.4119	0.0971	0.1988	0.0727	0.1124	0.6759	0.2512	0.1384	0.1282	0.0751	0.1567	0.1171	0.1904	0.2236	0.1593	0.1984	0.2046	0.2672	0.2487	0.3097	0.1339	0.3609	0.1794	0.1858
chr11	118790256	118790257	0.0272	0.0195	0.0165	0.027	0.018	0.0234	0.1867	0.151	0.0817	0.0804	0.0399	0.06025	0.0362	0.0206	0.0377	0.0158	0.1199	0.0559	0.1392	0.052	0.1098	0.0484	0.0378	0.0783	0.0446
chr11	118883798	118883799	0.8045	0.0677	0.3041	0.6679	0.4879	0.8137	0.8523	0.5417	0.6229	0.7632	0.5446	0.6124	0.6263	0.5593	0.5701	0.824	0.5405	0.5491	0.6769	0.6177	0.6773	0.6545	0.5352	0.5862	0.6376
chr11	118883821	118883822	0.7372	0.0607	0.312	0.5664	0.4635	0.7019	0.8573	0.6149	0.6354	0.8124	0.6085	0.54895	0.6927	0.7077	0.5063	0.6853	0.6078	0.6549	0.7141	0.6288	0.6263	0.6094	0.6411	0.6239	0.5927
chr11	118883826	118883827	0.9004	0.0675	0.5998	0.8654	0.8378	0.8968	0.946	0.8968	0.7303	0.9037	0.8872	0.8714	0.8982	0.8805	0.8712	0.9058	0.9176	0.8833	0.908	0.8931	0.9011	0.8886	0.8866	0.8647	0.9009
chr11	118883856	118883857	0.8543	0.0602	0.5211	0.8434	0.7842	0.84	0.9187	0.8103	0.685	0.8965	0.7905	0.79245	0.8363	0.8596	0.7404	0.8489	0.8661	0.8824	0.8762	0.8449	0.8599	0.8416	0.8087	0.8335	0.8715
chr11	118883884	118883885	0.861	0.0701	0.5916	0.8597	0.8342	0.8836	0.9142	0.8792	0.7153	0.8938	0.8663	0.86995	0.8699	0.8752	0.8536	0.8555	0.9108	0.8658	0.8957	0.8737	0.8889	0.8681	0.8649	0.8355	0.8868
chr11	119116150	119116151	0.0708	0.9445	0.7779	0.9394	0.8529	0.2528	0.9348	0.8566	0.9031	0.8987	0.8401	0.9338	0.9328	0.925	0.7974	0.9533	0.8047	0.8694	0.8519	0.8891	0.8578	0.9233	0.9245	0.8365	0.8799
chr11	119174016	119174017	0.8642	0.8585	0.845	0.8485	0.8518	0.8321	0.8899	0.8346	0.84	0.8729	0.8375	0.842325	0.8438	0.836	0.8316	0.8553	0.8832	0.8826	0.8942	0.8691	0.8883	0.8719	0.8798	0.7061	0.8747
chr11	119174034	119174035	0.9816	0.9784	0.9793	0.9805	0.9809	0.9791	0.989	0.9728	0.9832	0.9732	0.9757	0.958575	0.9595	0.9504	0.9684	0.9818	0.9802	0.9912	0.9875	0.9886	0.9885	0.9825	0.984	0.8259	0.9833
chr11	119174065	119174066	0.8256	0.8229	0.8114	0.8144	0.8184	0.8016	0.9071	0.8399	0.7849	0.8264	0.7621	0.731	0.763	0.7751	0.7589	0.7617	0.8535	0.8514	0.8514	0.8213	0.8623	0.8054	0.8459	0.6335	0.8451
chr11	119356310	119356311	0.0449	0.0405	0.0342	0.0425	0.0389	0.0403	0.0459	0.0408	0.0989	0.1776	0.0384	0.32805	0.7427	0.6658	0.0642	0.0387	0.0559	0.1484	0.0726	0.0596	0.0843	0.2079	0.0501	0.0603	0.0638
chr11	119356395	119356396	0.0388	0.081	0.0412	0.0471	0.041	0.0352	0.0358	0.0313	0.0664	0.234	0.0493	0.3289	0.717	0.7376	0.0402	0.0284	0.0285	0.2591	0.0469	0.0493	0.0716	0.3538	0.0379	0.0521	0.0469
chr11	119356588	119356589	0.062	0.0612	0.0588	0.0518	0.0574	0.0505	0.0378	0.0552	0.0944	0.1394	0.0674	0.283125	0.6795	0.5688	0.0474	0.0439	0.0469	0.1769	0.0676	0.0689	0.068	0.2373	0.0646	0.0578	0.0653
chr11	119356618	119356619	0.0118	0.0162	0.0166	0.0152	0.0114	0.013	0.0092	0.0283	0.266	0.3803	0.0625	0.79095	0.915	0.9091	0.0152	0.0118	0.0468	0.2914	0.0305	0.0689	0.1051	0.4268	0.0909	0.0498	0.037
chr11	119356882	119356883	0.0056	0.0072	0.0096	0.0062	0.0067	0.0096	0.0138	0.0032	0.0925	0.1758	0.0199	0.5672	0.8964	0.9157	0.0169	0.0063	0.029	0.1549	0.0168	0.0066	0.0274	0.2355	0.0093	0.0089	0.0044
chr11	119356921	119356922	0.0336	0.0316	0.0279	0.0373	0.0327	0.0291	0.0247	0.0362	0.0795	0.1524	0.0377	0.351875	0.8052	0.6694	0.0437	0.032	0.0697	0.2138	0.0493	0.0484	0.0616	0.2908	0.0355	0.0446	0.0336
chr11	119361553	119361554	0.4848	0.3262	0.366	0.4666	0.3813	0.6218	0.7936	0.3295	0.0946	0.0707	0.148	0.0771	0.0716	0.0592	0.3856	0.0873	0.25	0.1978	0.2501	0.195	0.1603	0.2024	0.142	0.2454	0.2169
chr11	119423151	119423152	0.1922	0.2256	0.2096	0.1969	0.2117	0.2116	0.1333	0.1035	0.1601	0.1667	0.1364	0.189925	0.1786	0.192	0.1894	0.4636	0.1581	0.1265	0.2961	0.2501	0.4628	0.1934	0.2567	0.1237	0.2349
chr11	119423153	119423154	0.0205	0.0627	0.0322	0.0195	0.0348	0.0216	0.0084	0.0174	0.0304	0.0319	0.0316	0.08705	0.0779	0.0597	0.0264	0.4116	0.0213	0.0276	0.2295	0.2437	0.4035	0.1474	0.2377	0.0638	0.161
chr11	119423159	119423160	0.0112	0.0539	0.0262	0.0148	0.0227	0.014	0.0091	0.0074	0.0124	0.0284	0.0209	0.06765	0.0754	0.047	0.0196	0.4392	0.0118	0.0095	0.2054	0.1753	0.4015	0.1265	0.1999	0.0455	0.1379
chr11	120123014	120123015	0.8045	0.7652	0.7204	0.7762	0.7095	0.7927	0.856	0.8015	0.8128	0.6124	0.6179	0.651825	0.4404	0.6763	0.7747	0.8027	0.8354	0.7123	0.648	0.5244	0.8134	0.6235	0.7253	0.7731	0.8011
chr11	120123024	120123025	0.8996	0.8938	0.8635	0.888	0.8754	0.879	0.9486	0.893	0.9351	0.8249	0.7984	0.877725	0.6568	0.8789	0.8701	0.9139	0.9052	0.8708	0.8593	0.6039	0.9417	0.7802	0.8816	0.9196	0.9155
chr11	120123043	120123044	0.9516	0.9503	0.945	0.9508	0.948	0.9487	0.9785	0.9594	0.9622	0.9222	0.9265	0.9591	0.9274	0.9559	0.9494	0.9632	0.9699	0.9614	0.9402	0.6767	0.9759	0.9283	0.9663	0.9756	0.968
chr11	120123072	120123073	0.8855	0.806	0.7671	0.8501	0.7744	0.8707	0.9424	0.939	0.9187	0.8051	0.737	0.90225	0.7245	0.8799	0.8732	0.903	0.9297	0.8861	0.8742	0.5723	0.9581	0.7986	0.9402	0.9396	0.9438
chr11	120956882	120956883	0.9783	0.9796	0.9717	0.799	0.9753	0.9716	0.9799	0.9825	0.9843	0.981	0.9775	0.975425	0.9681	0.9775	0.981	0.9797	0.9804	0.9783	0.9729	0.9804	0.9827	0.9801	0.9793	0.9797	0.9754
chr11	121152918	121152919	0.9685	0.9646	0.9665	0.9693	0.9706	0.9624	0.985	0.9775	0.9603	0.884	0.9672	0.9611	0.9675	0.9687	0.9416	0.9702	0.9783	0.8167	0.9405	0.8902	0.9837	0.6307	0.973	0.9769	0.9785
chr11	121449218	121449219	0.8679	0.8329	0.412	0.8682	0.5373	0.7395	0.9418	0.9011	0.8781	0.914	0.9037	0.9002	0.8761	0.9108	0.8882	0.9255	0.9216	0.9205	0.9251	0.9106	0.9146	0.9187	0.9261	0.9085	0.9251
chr11	121570140	121570141	0.2206	0.043	0.7698	0.7676	0.7404	0.8534	0.9355	0.8254	0.8681	0.8926	0.878	0.856925	0.6855	0.8968	0.8215	0.8996	0.8654	0.8714	0.8614	0.8589	0.8713	0.8823	0.8893	0.854	0.8859
chr11	121570171	121570172	0.8324	0.0628	0.8643	0.8661	0.8656	0.8645	0.8917	0.8608	0.8825	0.8813	0.904	0.87005	0.8159	0.8973	0.8702	0.912	0.9018	0.8715	0.8875	0.8655	0.8972	0.8765	0.8748	0.8451	0.8787
chr11	121810114	121810115	0.8982	0.8995	0.8991	0.9056	0.9044	0.8836	0.9042	0.8613	0.897	0.79	0.9011	0.715875	0.6125	0.1398	0.7744	0.8765	0.8992	0.7614	0.8712	0.9038	0.8853	0.6887	0.9206	0.7891	0.9119
chr11	122838763	122838764	0.8814	0.8866	0.354	0.4141	0.0567	0.87	0.9168	0.8873	0.8968	0.6745	0.8787	0.85585	0.7422	0.8933	0.8647	0.9126	0.9017	0.8994	0.8909	0.9018	0.8951	0.894	0.8903	0.8545	0.9164
chr11	122838843	122838844	0.8977	0.8937	0.5076	0.4338	0.083	0.8811	0.9443	0.874	0.8766	0.7647	0.8846	0.872325	0.8735	0.8989	0.8522	0.8859	0.9007	0.8634	0.8884	0.8883	0.8914	0.8703	0.8915	0.872	0.9119
chr11	123083727	123083728	0.111	0.829	0.2679	0.6989	0.5241	0.3556	0.7912	0.0639	0.2332	0.0565	0.2361	0.1655	0.1317	0.0843	0.0891	0.0476	0.0551	0.0971	0.0817	0.1354	0.3032	0.0823	0.5281	0.163	0.0937
chr11	123430131	123430132	0.0408	0.0448	0.0495	0.0418	0.0522	0.038	0.0242	0.0742	0.0568	0.0416	0.0666	0.093175	0.0794	0.0639	0.0541	0.069	0.061	0.0625	0.0624	0.0571	0.2684	0.0729	0.0492	0.0779	0.0772
chr11	123430141	123430142	0.0266	0.0446	0.0369	0.0351	0.0381	0.0308	0.02	0.0427	0.0728	0.0302	0.0903	0.085775	0.0738	0.034	0.071	0.0598	0.0326	0.0476	0.0449	0.038	0.2873	0.0544	0.032	0.0618	0.0494
chr11	123430159	123430160	0.0234	0.0387	0.0416	0.0338	0.0431	0.0251	0.0257	0.0227	0.0485	0.0383	0.0629	0.083	0.1288	0.0613	0.0397	0.0767	0.0297	0.0272	0.0125	0.0136	0.3091	0.0318	0.024	0.0475	0.028
chr11	123430463	123430464	0.0121	0.0184	0.0163	0.0164	0.0135	0.0179	0.0083	0.0098	0.0138	0.04	0.023	0.026775	0.0936	0.0227	0.0161	0.0162	0.0125	0.1629	0.0263	0.0085	0.4067	0.0216	0.0049	0.0413	0.0135
chr11	123430966	123430967	0.04	0.0545	0.0532	0.0396	0.0454	0.0479	0.0185	0.0188	0.1801	0.0585	0.0729	0.03825	0.0915	0.0751	0.0646	0.0555	0.03	0.0804	0.0222	0.0103	0.3434	0.0262	0.0197	0.0506	0.0308
chr11	123431040	123431041	0.0275	0.0297	0.0249	0.0196	0.0301	0.0293	0.0152	0.0252	0.1019	0.0412	0.0456	0.0545	0.0466	0.0366	0.0342	0.03	0.0194	0.046	0.0346	0.0331	0.2007	0.0339	0.034	0.036	0.0381
chr11	123452918	123452919	0.0537	0.6147	0.8149	0.857	0.8116	0.7241	0.7922	0.8354	0.779	0.8095	0.8186	0.864275	0.8657	0.8257	0.8237	0.8818	0.8614	0.8724	0.8593	0.8822	0.8735	0.8936	0.8933	0.8473	0.8953
chr11	124076450	124076451	0.0122	0.0273	0.0561	0.0356	0.0248	0.0534	0.0451	0.0647	0.1005	0.0185	0.023	0.15425	0.7651	0.0755	0.0686	0.0293	0.0542	0.0122	0.0208	0.0074	0.0188	0.0157	0.0183	0.0152	0.0224
chr11	124076483	124076484	0.0793	0.082	0.0994	0.0918	0.0846	0.1021	0.046	0.0579	0.1236	0.0573	0.0695	0.18005	0.6659	0.1193	0.1136	0.0646	0.0702	0.0391	0.0345	0.0113	0.0293	0.0211	0.0369	0.0264	0.04
chr11	124076523	124076524	0.0098	0.0245	0.047	0.0278	0.0304	0.0399	0.0317	0.049	0.1338	0.01	0.0276	0.18575	0.7749	0.0979	0.0374	0.009	0.032	0.0378	0.0242	0.0386	0.0239	0.0491	0.0367	0.0389	0.042
chr11	124746563	124746564	0.0351	0.0366	0.0345	0.0332	0.0385	0.0365	0.0297	0.1144	0.1108	0.0773	0.0544	0.0566	0.0491	0.0205	0.1704	0.0285	0.2518	0.0515	0.1949	0.065	0.0602	0.0375	0.0682	0.0575	0.2881
chr11	124920979	124920980	0.003	0.0209	0.0063	0.0033	0.0096	0.0039	0.0141	0.0219	0.1287	0.04	0.0419	0.019725	0.034	0.0663	0.0315	0.8672	0.011	0.0198	0.0383	0.0414	0.0206	0.0619	0.0194	0.0756	0.0615
chr11	125111973	125111974	0.0294	0.061	0.0572	0.03	0.042	0.031	0.0229	0.0898	0.0398	0.0367	0.068	0.058575	0.0306	0.0373	0.2861	0.0301	0.0499	0.0952	0.1402	0.1622	0.1132	0.1808	0.2828	0.0835	0.1597
chr11	125129498	125129499	0.9586	0.9483	0.9614	0.9584	0.9549	0.9452	0.8787	0.9544	0.6212	0.954	0.8874	0.9395	0.9144	0.9598	0.9568	0.9729	0.9443	0.7502	0.9548	0.9079	0.3407	0.8989	0.1607	0.9609	0.7399
chr11	125166489	125166490	0.0179	0.0448	0.0343	0.0242	0.0431	0.0215	0.0109	0.0081	0.0251	0.0347	0.0648	0.0828333333333333	0.1727	0.0221	0.028	0.1148	0.0302	0.1731	0.2716	0.2058	0.0242	0.5484	0.0221	0.2012	0.1025
chr11	125166524	125166525	0.067	0.122	0.1032	0.0663	0.1231	0.061	0.0616	0.0697	0.0754	0.0725	0.1162	0.1732	0.2041	0.0529	0.0654	0.1412	0.1141	0.26	0.3415	0.2993	0.0994	0.5649	0.1034	0.2681	0.2034
chr11	125904187	125904188	0.0104	0.0999	0.0223	0.0128	0.0376	0.0095	0.0096	0.0064	0.0042	0.0435	0.0105	0.00445	0.0234	0.008	0.0079	0.6104	0.0083	0.0742	0.0293	0.0148	0.0103	0.0352	0.0081	0.0559	0.025
chr11	125904195	125904196	0.0177	0.101	0.0305	0.0157	0.0419	0.0094	0.0082	0.007	0.0104	0.0511	0.0179	0.0053	0.0354	0.0098	0.0138	0.5111	0.012	0.0854	0.0432	0.043	0.0227	0.0441	0.0161	0.0702	0.044
chr11	125904197	125904198	0.0239	0.077	0.0254	0.0186	0.026	0.0151	0.0217	0.0151	0.0263	0.0334	0.031	0.033525	0.0295	0.0248	0.027	0.5625	0.0344	0.0691	0.0434	0.0261	0.0247	0.0321	0.0228	0.0584	0.0348
chr11	126185562	126185563	0.9722	0.9714	0.9712	0.9704	0.9728	0.97	0.9791	0.9786	0.9599	0.9574	0.9591	0.9685	0.97	0.9602	0.9666	0.3419	0.9687	0.9505	0.9706	0.9741	0.8716	0.9611	0.9677	0.9772	0.9716
chr11	126282567	126282568	0.0376	0.069	0.1321	0.0888	0.2785	0.0444	0.0219	0.0529	0.0509	0.0487	0.031	0.03295	0.0451	0.0455	0.0548	0.047	0.0402	0.0643	0.0315	0.0502	0.0297	0.0361	0.0466	0.045	0.0378
chr11	126282586	126282587	0.0254	0.0505	0.0926	0.0504	0.2159	0.0273	0.0062	0.0162	0.0333	0.0202	0.0213	0.02275	0.0231	0.0175	0.0358	0.0312	0.0174	0.032	0.02	0.03	0.0176	0.0175	0.0238	0.0269	0.0195
chr11	126328148	126328149	0.9683	0.9687	0.9691	0.9676	0.97	0.9614	0.9688	0.9376	0.9505	0.0891	0.9438	0.931225	0.9341	0.9187	0.9284	0.9715	0.9263	0.7262	0.9673	0.9643	0.56	0.9283	0.9551	0.9666	0.6889
chr11	126585817	126585818	0.4966	0.5182	0.4764	0.4786	0.5492	0.5371	0.3545	0.0198	0.2607	0.1609	0.1128	0.01245	0.0957	0.0291	0.0932	0.0146	0.0848	0.0909	0.0499	0.0447	0.0371	0.0232	0.0304	0.1519	0.0425
chr11	128507357	128507358	0.0688	0.2513	0.0678	0.0968	0.1344	0.0866	0.0515	0.0577	0.096	0.0799	0.0539	0.071475	0.0684	0.0595	0.0608	0.0533	0.0528	0.081	0.0856	0.1032	0.133	0.08	0.4475	0.0729	0.075
chr11	128876319	128876320	0.9858	0.9847	0.9847	0.983	0.9854	0.9841	0.9913	0.9875	0.9568	0.8172	0.9797	0.968475	0.9614	0.9808	0.973	0.9439	0.9892	0.9774	0.9516	0.9883	0.6323	0.9198	0.9886	0.9747	0.9833
chr11	128943113	128943114	0.9589	0.9085	0.9102	0.9451	0.9021	0.9452	0.9815	0.6416	0.3224	0.7963	0.8187	0.6977	0.8987	0.9421	0.8538	0.955	0.9434	0.8972	0.4551	0.2972	0.3667	0.3536	0.2484	0.9404	0.7032
chr11	129374546	129374547	0.0081	0.062	0.0194	0.008	0.0305	0.0053	0.0152	0.0036	0.015	0.0183	0.0414	0.084475	0.0276	0.113	0.0189	0.0082	0.0394	0.0389	0.0546	0.0327	0.0448	0.2702	0.0314	0.0536	0.0439
chr11	129374610	129374611	0.0318	0.0958	0.054	0.0363	0.066	0.0365	0.0205	0.0316	0.0523	0.069	0.101	0.1916	0.0925	0.1744	0.0383	0.0263	0.0264	0.0468	0.0548	0.0295	0.0357	0.3605	0.0525	0.0376	0.0696
chr11	129374628	129374629	0.0116	0.0466	0.0287	0.0071	0.0351	0.0121	0.0289	0.0485	0.0327	0.0483	0.0285	0.18085	0.0552	0.1298	0.0174	0.0073	0.0598	0.0617	0.0758	0.0564	0.0544	0.3642	0.0678	0.0707	0.0941
chr11	129696014	129696015	0.0805	0.0505	0.0758	0.044	0.0634	0.0522	0.0296	0.1103	0.1954	0.0978	0.0704	0.050875	0.0595	0.1192	0.074	0.2763	0.0446	0.1375	0.2819	0.4902	0.0497	0.5427	0.0633	0.0952	0.0912
chr11	129852582	129852583	0.9755	0.9757	0.9743	0.974	0.9741	0.9739	0.9733	0.9791	0.9765	0.9754	0.7949	0.9593	0.9627	0.9764	0.9688	0.9767	0.9725	0.9509	0.9717	0.9409	0.9719	0.9397	0.3806	0.9773	0.9733
chr11	129852617	129852618	0.9689	0.963	0.9599	0.9568	0.9706	0.9577	0.9708	0.9772	0.9618	0.965	0.8676	0.963725	0.947	0.9708	0.9242	0.9374	0.9748	0.9714	0.978	0.9456	0.9795	0.9524	0.4064	0.9836	0.9776
chr11	129854052	129854053	0.3733	0.6474	0.1337	0.4455	0.2131	0.1096	0.66	0.193	0.7046	0.0977	0.1377	0.1464	0.103	0.0849	0.332	0.093	0.2359	0.1484	0.2965	0.1808	0.2802	0.1291	0.1366	0.1921	0.2094
chr11	129854092	129854093	0.261	0.4332	0.0699	0.225	0.1201	0.0804	0.41	0.0797	0.3741	0.0376	0.0594	0.053225	0.039	0.0324	0.1114	0.0277	0.0769	0.0937	0.1141	0.1063	0.0913	0.076	0.0767	0.1283	0.0958
chr11	129932174	129932175	0.9647	0.962	0.9636	0.9646	0.966	0.9611	0.9799	0.9799	0.9758	0.9535	0.9714	0.973	0.9639	0.9707	0.9592	0.9724	0.9806	0.9856	0.8856	0.9067	0.9838	0.8012	0.9823	0.9806	0.9782
chr11	130159586	130159587	0.2064	0.2221	0.2464	0.2091	0.2718	0.2002	0.2118	0.1846	0.2798	0.3686	0.1269	0.109275	0.0938	0.0859	0.1784	0.0892	0.2971	0.1807	0.1935	0.1979	0.2031	0.1673	0.1454	0.1892	0.1954
chr11	130159620	130159621	0.0362	0.041	0.0561	0.0413	0.0764	0.047	0.0754	0.08	0.2158	0.1695	0.0188	0.032725	0.0365	0.0368	0.0288	0.027	0.3964	0.0697	0.0523	0.0389	0.0567	0.0328	0.0372	0.0912	0.0667
chr11	130159720	130159721	0.0076	0.0089	0.0135	0.0144	0.0387	0.0111	0.0072	0.025	0.2392	0.0256	0.0208	0.019075	0.0141	0.0052	0.0276	0.0129	0.3925	0.0393	0.0383	0.0381	0.0295	0.0266	0.0171	0.0807	0.0376
chr11	130159789	130159790	0.0143	0.0142	0.0254	0.0237	0.0459	0.0188	0.0303	0.0323	0.1177	0.0258	0.0223	0.02965	0.0318	0.0327	0.0616	0.0088	0.1804	0.0243	0.0123	0.0163	0.012	0.0134	0.0163	0.025	0.0226
chr11	130160066	130160067	0.0116	0.0228	0.0344	0.0251	0.0724	0.0148	0.0059	0.0112	0.1715	0.0118	0.016	0.003575	0.0099	0.0095	0.0296	0.0121	0.1027	0.0143	0.0073	0.007	0.0065	0.0046	0.0053	0.0121	0.0106
chr11	130190564	130190565	0.9545	0.9512	0.9341	0.9389	0.942	0.9347	0.9789	0.9615	0.9524	0.9632	0.9571	0.930025	0.9455	0.8662	0.9016	0.0157	0.973	0.9415	0.9704	0.9722	0.9649	0.9578	0.9701	0.9664	0.9296
chr11	130220017	130220018	0.9791	0.9721	0.9714	0.9746	0.9754	0.9737	0.9883	0.9775	0.9216	0.971	0.6073	0.936025	0.964	0.9743	0.9654	0.9782	0.9653	0.9419	0.9661	0.9604	0.9754	0.9429	0.9709	0.9519	0.971
chr11	131837757	131837758	0.9763	0.9763	0.9757	0.9743	0.9776	0.9755	0.9727	0.981	0.9703	0.82	0.9676	0.9689	0.9031	0.9614	0.9658	0.9725	0.9793	0.9746	0.7868	0.8446	0.9814	0.9334	0.9758	0.9775	0.9343
chr11	131837772	131837773	0.9318	0.921	0.9116	0.914	0.9158	0.9271	0.9462	0.9121	0.925	0.6479	0.8877	0.892325	0.7434	0.9149	0.9049	0.9112	0.9201	0.8748	0.6723	0.7057	0.9499	0.747	0.933	0.8883	0.8243
chr11	132161523	132161524	0.9528	0.9574	0.9557	0.9576	0.9573	0.9501	0.9471	0.9351	0.8887	0.8594	0.9432	0.952825	0.9102	0.9369	0.9296	0.9452	0.9299	0.9619	0.9169	0.9353	0.454	0.9277	0.9546	0.9602	0.8107
chr11	132920839	132920840	0.788	0.8315	0.814	0.8296	0.8492	0.8347	0.8525	0.7565	0.9143	0.9005	0.8834	0.7417	0.5925	0.3653	0.8342	0.8797	0.9077	0.6271	0.6929	0.8669	0.6874	0.2903	0.9062	0.8655	0.3122
chr11	133946167	133946168	0.7963	0.7866	0.8106	0.7987	0.8358	0.7862	0.8346	0.6001	0.5225	0.378	0.6341	0.6891	0.68	0.6858	0.4942	0.8229	0.5894	0.6385	0.663	0.6835	0.7677	0.6689	0.7608	0.5855	0.6271
chr11	133946202	133946203	0.9397	0.9563	0.9595	0.9488	0.9654	0.9282	0.979	0.8942	0.6643	0.5834	0.9276	0.9532	0.9598	0.9561	0.5382	0.9524	0.7344	0.8859	0.9009	0.8765	0.9804	0.9524	0.9211	0.8729	0.9064
chr11	134256390	134256391	0.8879	0.9033	0.8855	0.887	0.8968	0.2513	0.9296	0.8757	0.8436	0.9012	0.8889	0.858425	0.8196	0.9045	0.8349	0.9159	0.8878	0.8945	0.8977	0.8843	0.9048	0.8825	0.9037	0.8605	0.8903
chr11	134256429	134256430	0.8599	0.912	0.9002	0.8837	0.8867	0.0662	0.9374	0.8516	0.8433	0.873	0.8288	0.811225	0.7526	0.8777	0.8418	0.8997	0.8896	0.9115	0.8514	0.8897	0.8992	0.8665	0.9029	0.8766	0.8922
chr11	134256470	134256471	0.8156	0.8686	0.8346	0.8423	0.8415	0.0569	0.9229	0.6673	0.6979	0.6193	0.6932	0.743575	0.5326	0.8391	0.7531	0.7858	0.7786	0.8387	0.644	0.7005	0.8752	0.702	0.8706	0.7745	0.836
chr11	134332058	134332059	0.0368	0.2004	0.0307	0.0244	0.0326	0.0229	0.0124	0.0138	0.0177	0.0244	0.0145	0.01065	0.0144	0.015	0.0676	0.0162	0.0126	0.0403	0.0524	0.0549	0.0265	0.0165	0.0279	0.0734	0.0226
